node_id,total_assets,capital,capital_ratio,bank_tier,lgd,leverage_ratio,total_interbank_assets,total_interbank_liabilities,derivatives_exposure,securities_exposure,fx_exposure,deposits_loans_exposure
0,4002810000,344923000,0.086170215,2,8.15E-10,6.0956,964014000,296835000,60847000,576048000,12881670000,964014000
1,1215070000,105428000,0.086767018,2,4.79E-10,5.5868,324938000,65293000,37017000,270464000,5834690000,324938000
2,1675970000,122413000,0.07304009,2,9.81E-10,5.4531,551170000,329371000,47329000,532127000,6273360000,551170000
3,3261790000,295559000,0.090612516,2,4.67E-10,5.8522,544344000,331758000,40597000,326678000,7450632000,544344000
4,2352940000,209366000,0.088980594,2,1.14E-09,5.846,531699000,254755000,57660000,382223000,13203777000,531699000
5,3386692000,59575000,0.017590912,2,0.464596308,0,100118000,509679938,501000,67432000,0,100118000
6,1929840000,181066000,0.093824358,2,9.53E-10,6.7412,272361000,95235000,19770000,144062000,3485262000,272361000
7,4349731000,94657000,0.021761576,2,0.470988258,0,15975000,658745510.8,179000,78728000,310000,15975000
8,678318000,59040000,0.087038822,2,3.72E-09,6.7911,56887000,7894000,3425000,2174000,110805000,56887000
9,271461000,30236000,0.111382482,2,1.13E-08,8.3298,37006000,30248334.72,0,0,43090000,37006000
10,560051000,54469172,0.097257521,2,2.51E-09,7.4695,40587190,674510,845597,2800793,31186660,40587190
11,223720000,22228000,0.099356338,2,6.49E-09,9.8963,21312000,367000,0,0,7939000,21312000
12,490144000,60783632,0.124011784,2,1.16E-08,9.9486,40431500,562033,1169440,33730,21784110,40431500
13,416064000,41764000,0.100378788,2,1.06E-09,6.517,139857000,14064000,2925000,11244000,855469000,139857000
14,531176000,63679000,0.119883052,2,2.76E-09,8.8334,36450000,9675000,942000,5100000,29747000,36450000
15,94511000,39137000,0.414099946,2,0.466831481,0,3524000,3524000,103000,0,1900000,3524000
16,1483807865,82878734.49,0.055855435,2,2.97E-09,4.2,272146099.4,186828358.1,56179201.92,133140699.9,2643731594,272146099.4
17,479843000,48375000,0.100814225,2,2.26E-10,9.7975,42253000,5499000,1000,28282000,1260000,42253000
18,103556384,12696952,0.122609071,2,0.491795538,0,11242926.34,65688923,225351,0,0,0
19,353240000,25326000,0.071696297,2,1.15E-09,6.1621,119637000,3681000,10854000,269000,2577330000,119637000
20,48081000,6515000,0.13550051,2,0.524035115,0,1874000,5177884.326,206000,237000,2741000,1874000
21,31324742,1489026,0.04753514,2,0.521530026,0,3553109.181,3950418.959,27789,818,0,0
22,204230000,19782193,0.096862327,2,1.11E-08,8.5809,11647600,142068,236193,52771,5714156,11647600
23,191836000,13903000,0.072473363,2,1.54E-08,8.925,9664000,20907678.53,0,4000,217000,9664000
24,212927000,19645000,0.092261667,2,8.76E-09,9.222,17120000,477000,2452000,1474000,38436000,17120000
25,43469875,18693616,0.430036111,2,0.481877801,0,5444697.37,6758,193552,0,718748,0
26,217936000,24254411,0.111291439,2,7.35E-09,9.4151,9550130,24074615.74,385428,245244,34749000,9550130
27,100160000,8168436,0.081553874,2,2.28E-08,7.6788,14995900,11046376.3,7306,0,0,14995900
28,119463000,16580000,0.138787742,2,9.93E-08,12.9228,14067000,13264845.38,0,0,0,14067000
29,208105000,29027124,0.139483069,2,8.98E-09,10.1726,18872310,59583,0,101351,1449550,18872310
30,28254000,13355000,0.472676435,2,0.475932534,0,3525990.306,3688812.805,1052000,0,0,0
31,34113919.14,2035612.838,0.059671034,2,5.81E-08,5.2,3549912.967,2635174.559,174945.6663,2261270.272,2432529.72,3549912.967
32,13777753,3299117,0.239452471,2,0.514674265,0,1506291.066,1486008.802,3232,74494,0,0
33,187184000,18175796,0.097101227,2,7.17E-09,10.0258,17505139,14163,254391,1282989,6515790,17505139
34,155508000,12788393,0.082236239,2,2.12E-09,8.909,45124604,2201170,3021350,0,366959130,45124604
35,68708150.45,9384321.931,0.136582369,2,0.492495215,0,1479069.727,2572681.083,242753.6158,1515367.763,0,1479069.727
36,18939000,4813000,0.254131686,2,0.511338927,0,1176000,1176000,46000,2211000,0,1176000
37,8523230.528,2287228.355,0.268352281,1,0.478420486,0,1146940.545,1534287.898,0,175767.3875,0,0
38,212638872,17445927,0.082044862,2,3.73E-09,8.5053,126967,23319373.03,93376,1877,6425783,126967
39,26086887,3829651,0.14680368,2,0.518019235,0,6173869,15338891,113076,9043333,0,6173869
40,79469000,6543000,0.082333992,2,1.27E-08,11.0774,5974000,8509470.933,253000,89000,3294000,5974000
41,53552300,6340352,0.118395512,2,2.51E-08,9.2122,833518,269360,0,0,19239,833518
42,64879700,6344292,0.097785471,2,1.24E-08,9.391,4416269,7042578.573,182501,4072,97083,4416269
43,82281300,11928768,0.144975444,2,2.48E-08,13.0242,12500613,306610,0,1459140,2081700,12500613
44,36251000,6525134,0.179998731,2,6.60E-09,13.4113,2488430,3985228.182,0,91803,0,2488430
45,161927000,9833562,0.060728365,2,0.49424235,0,2398938,17946689.93,0,1033290,5411270,2398938
46,6899379,2374027,0.344092852,1,0.488425079,0,1184680.964,998553.2682,45439,0,0,0
47,137447000,26486900,0.19270628,2,0.500710554,0,17170074.7,15711578.43,0,113200,0,0
48,3270707,489363,0.149619945,1,0.525754738,0,421418.6785,410099.9756,0,0,0,0
49,80934200,6707473,0.082875632,2,1.23E-08,8.0868,3776270,14570,0,0,63777,3776270
50,32464500,13243000,0.4079225,2,0.489987399,0,4012924.291,4198766.733,0,838000,0,0
51,181403000,5228000,0.02881981,2,0.49937669,0,21919228.96,20020640.58,9294000,0,3426000,0
52,157460000,17910000,0.113743173,2,1.03E-08,9.8843,7829000,17222077.38,0,12000,3149000,7829000
53,62491700,7437302,0.119012637,2,2.36E-08,9.1603,1478710,72718,18011,0,1688340,1478710
54,52589400,6432007,0.122306149,2,2.40E-08,9.5529,3181199,230244,62679,0,1617,3181199
55,4793993,685154,0.142919274,1,0.52742189,0,268684,600625.9411,0,0,0,268684
56,14908600,4926949,0.330476973,2,0.496168069,0,1453110,1778830.107,0,0,0,1453110
57,9552630,1026937,0.107503065,2,0.561409274,10.1441,140331,956356.1742,0,0,0,140331
58,16435400,442900,0.026947929,2,0.537438338,0,412200,1039200,15400,1290200,0,412200
59,32252600,3321119,0.102972132,2,1.18E-07,10.8477,1552620,13982,0,45069,389151,1552620
60,3190950,1404646,0.440196807,1,0.48834504,0,1429,446879.8179,0,0,0,1429
61,12650700,1053363,0.083265195,2,4.15E-08,7.5501,979135,25369,0,0,0,979135
62,5121341,2797838,0.546309648,1,0.465251463,0,905311.7703,714752.6678,0,0,0,0
63,4381993,1759863,0.401612463,1,0.481035315,0,751568.5757,204542,30175,780749,0,0
64,33542900,3499954,0.104342618,2,3.46E-08,10.1469,2310210,3583127.236,0,0,36155,2310210
65,48733000,6301654,0.12930979,2,3.04E-08,8.7455,2001290,534865,114822,0,151352,2001290
66,7801150,763582,0.097880697,1,1.60E-07,8.882,201866,89912,0,0,0,201866
67,5224010,462491,0.088531798,1,6.33E-08,8.7674,372344,638061.6763,0,0,0,372344
68,8830900,4298200,0.486722758,1,0.479012501,0,1565570.633,1235719.902,0,56600,0,0
69,27684500,3021641,0.109145587,2,6.00E-08,9.1631,1328050,2937664.144,0,0,0,1328050
70,60233600,5266250,0.087430437,2,2.05E-08,9.5504,2491493,131728,83060,9713,148805,2491493
71,3831591,1989581,0.519257144,1,0.498151701,0,669267.7637,528951.9094,538,0,0,0
72,22312500,1836682,0.08231628,2,6.43E-08,8.6936,3731550,2248064.316,15963,0,0,3731550
73,2695660,1190354,0.441581653,1,0.5107997,0,459871.5465,376104.0385,88266,0,0,0
74,27008900,15124100,0.55996727,2,0.447467296,0,3426300.369,3583719.697,0,371200,0,0
75,4457790,431755,0.096854047,1,2.48E-07,9.8671,280,548936.3598,0,0,0,280
76,18312000,2304987,0.125873034,2,8.42E-08,9.9563,298891,242102,0,0,0,298891
77,9901730,890467,0.089930446,2,1.28E-07,9.6555,519853,955596.9352,0,0,0,519853
78,39895500,5686773,0.142541715,2,2.52E-08,11.3748,2919516,580170,0,1169010,0,2919516
79,3198341,1487811,0.465182105,1,0.470695161,0,550576.6071,435709.2777,0,0,256330,0
80,13426400,1702753,0.126821263,2,7.46E-08,9.502,69200,60567,0,0,0,69200
81,2059850,296261,0.143826492,1,1.83E-06,13.3033,346207,251663.6547,0,0,0,346207
82,8123700,396997,0.048868988,1,1.18E-07,5.7699,386472,1070454.007,0,34746,0,386472
83,16386000,1765665,0.107754486,2,7.89E-08,9.189,39293,261553,0,0,0,39293
84,73045000,5613000,0.076843042,2,5.01E-08,8.6577,6378000,55000,0,33000,0,6378000
85,24051800,2601205,0.108150118,2,6.08E-08,8.5016,17826,113224,177673,0,0,17826
86,23601100,1667779,0.070665308,2,7.34E-08,8.3074,488428,100000,146922,18156,0,488428
87,27466300,1709100,0.062225345,2,0.527265039,0,6863800,10197200,237700,6529400,0,6863800
88,15361743,1487377,0.096823453,2,0.52259873,0,3278470,3703666,90060,5424527,91830768,3278470
89,27903000,3223858,0.115538043,2,5.60E-08,8.9319,579662,1777480,0,169,0,579662
90,5666380,704804,0.124383469,1,0.556571314,12.1123,154701,704149.9824,5149,13828,0,154701
91,75976500,7723050,0.10165051,2,2.35E-08,10.4154,5344680,8212362.163,0,0,5146140,5344680
92,43023100,4605560,0.107048539,2,3.21E-08,8.7333,475545,470369,48212,0,486410,475545
93,22490700,3961021,0.176118173,2,8.11E-08,13.0452,633009,162350,0,0,0,633009
94,15153700,2186316,0.144276051,2,6.93E-08,11.4571,51303,261887,0,1427,0,51303
95,30072110,2159920,0.071824691,2,0.50720881,0,3325244.348,3475832.947,4879,53262,0,0
96,1007628,439480,0.436153025,1,0.511249721,0,167031.3111,137075.7001,0,0,0,0
97,35245500,2814318,0.079849002,2,3.52E-08,8.4845,479038,3608825.56,81589,0,8000,479038
98,5058650,376138,0.074355411,1,2.88E-07,8.9056,128266,614111.9462,0,21475,0,128266
99,763040,345687,0.453039159,1,0.507784161,0,125900.9593,103379.6671,0,676249,0,0
100,6938180,499728,0.072025805,1,1.66E-07,8.1307,88368,850969.1429,51115,0,0,88368
101,4114900,355035,0.086280347,1,4.36E-07,9.4615,330389,77972,0,0,0,330389
102,79025100,9133221,0.115573672,2,2.28E-08,8.7041,1902685,344168,19047,0,79631,1902685
103,1389086,493908,0.355563298,1,0.504341073,0,228534.0289,193842.2496,0,99632,0,0
104,2449417,992926,0.40537238,1,0.49844116,0,413835.9177,349640.0562,0,2005634,0,0
105,4674837.95,948605.3196,0.202917263,1,0.516380859,0,618954.6172,598609.8067,0,493851.5609,15945.32563,0
106,6052160,584526,0.096581386,1,1.86E-07,10.5993,336019,121521,0,0,0,336019
107,11690069,1368883,0.11709794,2,1.54E-07,11.4211,47619,991869,0,0,0,47619
108,4083054,444101,0.108766869,1,4.19E-07,11.1577,358865,499243.3052,0,0,0,358865
109,1882840,883633,0.469308598,1,0.49618335,0,319809.8801,253391.459,0,0,0,0
110,19292900,1669234,0.086520637,2,1.39E-07,11.0695,1067980,1922452.585,0,0,0,1067980
111,7867490,799466,0.101616399,1,1.25E-07,9.5268,468495,22621,0,0,0,468495
112,6846670,992029,0.144892188,1,2.47E-07,14.0714,339331,103318,0,6670,0,339331
113,4090310,330444,0.080787031,1,3.95E-07,8.5541,136813,493268.2108,0,0,0,136813
114,717899,-10421,-0.01451597,1,0.556449438,0,36732,79912.84061,0,0,0,36732
115,5737860,384063,0.066934885,1,2.52E-07,6.898,457161,699843.7729,0,0,0,457161
116,15176300,2183242,0.143858648,2,1.15E-07,11.1853,308206,232071,0,0,0,308206
117,88774720,6123655,0.068979716,2,1.53E-08,8.3402,1680665,872011,0,34991,281119,1680665
118,3599120,323925,0.090001167,1,3.43E-07,9.0207,304047,432537.0434,0,0,0,304047
119,1494350,29334,0.019629939,1,0.553050836,0,194075,10000,0,0,0,194075
120,7529060,736113,0.097769575,1,1.76E-07,9.3577,57990,12499,0,0,0,57990
121,82153200,9110996,0.110902509,2,1.61E-08,10.6414,2168796,2354680,150162,1387108,54239,2168796
122,31986000,3197321,0.099960014,2,6.42E-08,9.0326,777318,35209,149192,0,65484,777318
123,7731390,744853,0.096341408,1,1.90E-07,9.223,111800,972482.4768,0,0,0,111800
124,20814300,2579372,0.123923072,2,7.41E-08,10.9643,577568,2141136.947,0,0,52640,577568
125,9038970,724539,0.080157252,1,8.79E-08,8.0383,125265,50000,0,237,0,125265
126,9254250,1111590,0.120116703,1,1.34E-07,9.7289,108943,18367,18743,0,0,108943
127,3364720,335211,0.099625229,1,3.90E-07,8.1161,127063,27218,0,0,0,127063
128,18805700,2243315,0.119289099,2,3.13E-08,12.0769,467180,1966756.393,0,635947,0,467180
129,18685200,2790281,0.149331075,2,6.78E-08,10.6831,425441,192073,0,10892,0,425441
130,2737260,327788,0.119750407,1,0,12.4279,163902,332942.1955,0,0,0,163902
131,3780346,409156,0.108232421,1,2.90E-07,9.4972,61369,474029.8804,14450,-14450,0,61369
132,3853220,328589,0.08527647,1,2.99E-07,8.7795,128207,463574.4278,0,0,0,128207
133,3972730,255049,0.064199933,1,0,6.4245,546415,7009,0,0,0,546415
134,2208220,339135,0.153578448,1,5.67E-07,16.0437,29935,273873.5017,0,0,0,29935
135,8128420,887301,0.109160329,1,1.78E-07,9.5066,252846,11181,0,0,0,252846
136,6458190,730664,0.113137582,1,1.29E-07,10.6337,161570,325655,0,0,0,161570
