Company name Latin alphabet,Country ISO code,"NACE Rev. 2, core code (4 digits)",Last avail. year,Total assets,Total equity,Total capital adequacy ratio,Tier 1 Ratio,Common Equity / Core Tier 1 ratio (Basel III Fully loaded),Interbank assets,Interbank liabilities,"of which Reverse repos, securities borrowed & cash collateral","of which Repos, Securities loaned and cash collaterals",Derivative financial instruments (Assets),Derivative financial instruments (Liabilities),Financial assets: trading and at fair value through P&L,Liabilities held for trading and at fair value through P&L,Financial assets at fair value through other comprehensive income (FVOCI),Financial assets: Available for sale (AFS),Financial assets: Held to maturity (HTM),Corporate loans,Deposits and short-term funding,Other deposits and short-term borrowings,Long-term funding,Short-term borrowings and debt securities at historical cost < 1 year,Long-term borrowings and debt securities at historical cost > 1 year,Total off-balance sheet exposure,Loan loss reserves / Average risk-weighted assets (RWAs),Credit Default Swaps (most recent) – Rating 5 years,Foreign exchange (Derivative assets),Foreign exchange (Derivatives Liabilities),Foreign exchange (Derivatives notional value),Total equity / Risk-weighted assets (RWAs),Growth in risk-weighted assets (RWAs),Risk-weighted asset intensity (RWA / Total Assets),Total risk-weighted assets (RWAs) - Fully loaded (highest),Basel III leverage ratio (as reported)
JPMORGAN CHASE & CO,US,6420,2024,4002810000,344923000,17.9208,16.7788,15.6768,964014000,296835000,514547000,296835000,60847000,39327000,576048000,153293000,n.a.,409151000,274468000,209303000,2818432000,115565000,366069000,115565000,350008000,4382596000,1.432879,AA,"260,666,000",251932000,12881670000,19.626222,5.111244,43.905656,1757460000,6.0956
MORGAN STANLEY,US,6420,2024,1215070000,105428000,19.87,17.7633,15.7322,324938000,65293000,242424000,65293000,37017000,37724000,270464000,97767000,n.a.,99000000,61070000,20876000,485342000,44040000,266381000,44040000,252668000,471379000,0.228416,AA,"108,247,000",104757000,5834690000,22.086933,4.665905,39.284321,477332000,5.5868
"THE GOLDMAN SACHS GROUP, INC.",US,6420,2024,1675970000,122413000,18.6439,16.796,14.9686,551170000,329371000,373119000,329371000,47329000,74980000,532127000,134614000,n.a.,79094000,78368000,34415000,840380000,78948000,251602000,78948000,239381000,508883000,0.675606,AAA,"113,948,000",114267000,6273360000,17.778607,-0.605713,41.083134,688541000,5.4531
BANK OF AMERICA CORPORATION,US,6420,2024,3261790000,295559000,15.0591,13.1776,11.8581,544344000,331758000,274709000,331758000,40597000,39253000,326678000,92543000,n.a.,347304000,558677000,332420000,2438980000,141755000,261298000,141755000,231060000,1652863000,0.791163,AA,"110,337,000",108607000,7450632000,17.4295,2.695566,51.988019,1695740000,5.8522
CITIGROUP INC.,US,6420,2024,2352940000,209366000,15.4173,13.6329,12.1359,531699000,254755000,274062000,254755000,57660000,45356000,382223000,85653000,n.a.,223140000,242382000,158867000,1625612000,85334000,250517000,85334000,220116000,1701146000,1.457407,AA,"212,909,000",204746000,13203777000,16.354291,0.904061,54.408102,1280190000,5.846
FREDDIE MAC,US,6499,2024,3386692000,59575000,n.a.,n.a.,n.a.,100118000,n.a.,100118000,n.a.,501000,954000,67432000,n.a.,n.a.,3899000,n.a.,87416000,14675000,14675000,3290274000,14675000,165962000,535446000,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.
WELLS FARGO & COMPANY,US,6420,2024,1929840000,181066000,15.1822,12.5697,11.0668,272361000,95235000,105330000,95235000,19770000,15439000,144062000,32239000,n.a.,165987000,234948000,186842000,1496649000,29557000,153332000,29557000,131419000,1757095000,1.158827,AA,"51,495,000",50262000,3485262000,14.888459,-1.260078,63.018178,1216150000,6.7412
FEDERAL NATIONAL MORTGAGE ASSOCIATION,US,6499,2024,4349731000,94657000,n.a.,n.a.,n.a.,15975000,n.a.,15975000,n.a.,179000,154000,78728000,n.a.,n.a.,469000,n.a.,490358000,11188000,11188000,4216909000,11188000,128234000,216830000,n.a.,,n.a.,81000,310000,n.a.,n.a.,0,n.a.,n.a.
U.S. BANCORP,US,6420,2024,678318000,59040000,14.2897,12.2373,10.6276,56887000,7894000,6380000,7894000,3425000,5157000,2174000,1935000,n.a.,86007000,78634000,95678000,540091000,13888000,49803000,13888000,45014000,667878000,1.677863,A,"2,454,000",2247000,110805000,13.105497,-0.637861,66.413983,450498000,6.7911
AMERICAN EXPRESS COMPANY,US,6420,2024,271461000,30236000,13.202,11.1992,10.544,37006000,0,0,0,0,0,0,0,n.a.,1461000,0,65565000,147720000,6678000,44411000,6678000,42676000,467541000,2.653723,AAA,0,0,43090000,12.824091,7.299214,86.854097,235775000,8.3298
